CODIGO,CURSO,TITULO,TASA EXITO
514,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"85,35"
514,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"85,48"
514,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"85,78"
514,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"92,74"
528,2015,GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),"72,6"
533,2011,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"71,01"
533,2012,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"75,34"
533,2013,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"76,05"
533,2014,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"75,96"
533,2015,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"82,27"
535,2011,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"81,4"
535,2012,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"81,4"
535,2013,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"70,89"
535,2014,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"91,07"
535,2015,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),100
536,2014,DIPLOMATURA DE RELACIONES LABORALES (MELILLA),100
537,2011,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"93,21"
537,2012,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"83,57"
537,2013,DIPLOMADO EN RELACIONES LABORALES (MELILLA),100
537,2014,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
538,2011,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"90,48"
538,2012,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"87,27"
538,2013,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"26,56"
538,2014,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"80,33"
538,2015,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),100
539,2011,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"36,51"
539,2012,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),77
539,2013,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"88,14"
539,2014,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"85,55"
539,2015,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"85,27"
557,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"74,43"
557,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"78,56"
557,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"76,9"
557,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"85,13"
557,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"81,6"
558,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"79,44"
558,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"84,41"
558,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"87,71"
558,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"92,75"
558,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"90,27"
559,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"59,18"
559,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"82,73"
559,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"87,46"
559,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"87,28"
559,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"87,25"
588,2015,GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA),"83,99"
