CODIGO,CURSO,TITULO,TASA RENDIMIENTO
514,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"76,32"
514,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"80,52"
514,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"79,83"
514,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"85,86"
528,2015,GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),"54,55"
533,2011,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"43,86"
533,2012,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"50,32"
533,2013,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"61,02"
533,2014,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"61,18"
533,2015,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"69,39"
535,2011,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"56,34"
535,2012,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"52,27"
535,2013,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"35,4"
535,2014,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"56,67"
535,2015,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"75,34"
536,2014,DIPLOMATURA DE RELACIONES LABORALES (MELILLA),100
537,2011,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"59,99"
537,2012,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"47,63"
537,2013,DIPLOMADO EN RELACIONES LABORALES (MELILLA),"31,47"
537,2014,DIPLOMADO EN RELACIONES LABORALES (MELILLA),
538,2011,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"59,98"
538,2012,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"56,49"
538,2013,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"7,13"
538,2014,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"80,33"
538,2015,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),100
539,2011,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"15,03"
539,2012,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"64,17"
539,2013,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"78,39"
539,2014,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"68,17"
539,2015,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"72,71"
557,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"62,35"
557,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"68,87"
557,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"69,89"
557,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"78,5"
557,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"74,67"
558,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"66,82"
558,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"77,32"
558,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"83,58"
558,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"86,93"
558,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"83,06"
559,2011,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"32,22"
559,2012,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"64,97"
559,2013,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"68,38"
559,2014,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"75,65"
559,2015,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"74,86"
588,2015,GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA),"79,94"
